id,name,jl_number,longitude,latitude,ac_id
2,Anchuri,56,86.99334300000002,23.284466,928
3,Dhobargram,57,86.97898839999998,23.1789626,928
6,Dhulkumari,60,86.9436321,23.2797914,928
8,Nidaya,62,86.9611571,23.2712069,928
9,Papurdihi,63,86.97054279999998,23.2661821,928
11,Beharadihi,65,86.9886834,23.2568622,928
12,Nawdi,66,86.9886834,23.2657858,928
13,Balardihi,67,86.99868909999998,23.2570528,928
14,Badulara,68,87.0036911,23.2511987,928
15,Sanabandh,69,87.01119320000002,23.2453916,928
16,Jirabaid,70,87.07035049999998,22.9167065,927
17,Katgoria,71,87.25437020000003,23.4387002,929
18,Jamradihi,72,86.9946245,23.2394996,928
19,Ghughujan,73,86.991185,23.2390623,928
20,Jalhari,74,86.9886834,23.250913,928
23,Damragoria,77,86.97595109999996,23.250225600000004,928
24,Darpanagar,78,86.97116849999998,23.2416542,928
27,Dupsara,81,86.9611571,23.2474109,928
29,Pathakdihi,83,86.94863989999998,23.2560929,928
30,Pathrabaid,84,86.95615059999999,23.2651614,928
31,Bankata,85,86.99868909999998,22.9148971,927
34,Gonsaidihi,88,86.9649116,23.546358,923
35,Kenjakura,89,86.92171689999998,23.2696984,928
40,Molbana,94,86.929858,23.2601903,928
42,Kantakuli,96,86.9436321,23.2470725,928
44,Kamlagara,98,86.94112799999998,23.2321513,928
45,Kalpathar,99,86.9386238,23.226153600000004,928
47,Basulitara,101,86.9110688,23.2434642,928
49,Jambedia,103,87.0593037,23.3734537,929
51,Barabagan,105,86.91858540000001,23.2287385,928
54,Chingra,108,86.90605710000001,23.2076716,928
55,Bhalukbasa,109,86.8006916,23.1550072,924
56,Hetyashol,110,86.90605710000001,23.1927984,928
59,Khenkriara,113,86.91858540000001,23.2138656,928
62,Gangtora,116,87.37272359999999,23.2208999,934
63,Dhagaria,117,87.5061944,23.251012300000006,934
64,Banchingra,118,86.9317365,23.195529800000006,928
66,Chhendua,120,86.94989179999996,23.1951374,928
67,Chamkara,121,87.0105681,23.3413057,924
68,Fengabasa,122,86.96366009999998,23.2087888,928
70,Dinargan,124,86.94613609999998,23.2203498,928
