id,name,block_code,district_id
132,ALIPURDUAR - I,11,8
131,KALCHINI,10,8
14,RAIPUR - I,14,1
199,SUTAHATA - II,14,12
255,NAKASHIPARA,12,14
96,BAGNAN - II,9,5
220,BHAGABANGOLA - I,4,13
143,HALDIBARI,8,9
140,DINHATA - I,5,9
258,SANTIPUR,15,14
292,BADURIA,10,16
68,DUBRAJPUR,14,3
222,BARATPUR - I,6,13
139,TUFANGANJ - II,4,9
248,KALIGUNJ,5,14
56,NALHATI - II,2,3
82,KURSEONG,8,4
134,KUMARGRAM,13,8
236,RAGHUNATHGANJ - II,20,13
69,ELAMBAZAR,15,3
164,NAYAGRAM,1,11
122,RAJGANJ,1,7
8,ONDA,8,1
256,RANAGHAT - I,13,14
109,HARIPAL,7,6
247,HARINGHATA,4,14
357,CHANDRAKONA - II,25,11
86,SUKHIAPOKHRI,12,4
351,KALIAGUNJ,8,19
318,KULTALI,13,17
125,DHUPGURI,4,7
359,DASPUR - II,29,11
115,GOGHAT - I,13,6
174,KESIARI,11,11
310,BISHNUPUR - II,5,17
6,GANGAJALGHATI,6,1
27,JAMALPUR,4,2
58,MURARI - II,4,3
161,KALIACHAK - II,14,10
205,KHEJURI - I,20,12
40,JAMURIA,17,2
37,FARIDPUR DURGAPUR,14,2
337,KUMARGANJ,3,18
276,RAGUNATHPUR - I,15,15
275,JHALDA - II,14,15
317,JOYNAGAR -II,12,17
363,KULTI,54,2
191,PANSKURA - I,6,12
362,ASANSOL,38,2
356,ANDAL,22,2
47,MONGOLKOT,28,2
354,Kaliachak - I,16,10
13,INDPUR,13,1
126,MALBAZAR,5,7
167,SANKHRAIL,4,11
306,BARUIPUR,1,17
340,BANSHIHARI,6,18
16,RANIBANDH,16,1
364,HIRAPUR,37,2
262,PURULIA - I,1,15
279,KASHIPUR,18,15
25,MEMARI - I,2,2
55,NALHATI - I,1,3
12,HIRABANDH,12,1
133,ALIPURDUAR - II,12,8
61,RAMPURHAT - I,7,3
328,MANDIRBAZAR,23,17
200,NANDIGRAM - I,15,12
178,MOHANPUR,15,11
186,KESHPUR,23,11
268,BANDWAN,7,15
111,SHRIRAMPUR,9,6
105,DHANIAKHALI,3,6
57,MURARI - I,3,3
127,METIALI,6,7
151,CHANCHAL - I,3,10
53,PANDABESHWAR,34,2
110,TARAKESWAR,8,6
324,MATHURAPUR - I,19,17
341,HARIRAMPUR,7,18
144,MEKHLIGANJ,9,9
338,TAPAN,4,18
352,ITAHAR,9,19
4,SALTORA,4,1
15,SARENGA,15,1
221,BHAGABANGOLA - II,5,13
295,HAROA,13,16
20,SONAMUKHI,20,1
19,KOTOLPUR,19,1
196,MAHISADAL,11,12
142,SITAI,7,9
31,BHATAR,8,2
97,UDAYNARAYANPUR,10,5
213,EGRA - II,28,12
112,CHANDITALA - I,10,6
137,KOOCHBIHAR - II,2,9
298,MINAKHA,16,16
264,HURA,3,15
88,DOMJUR,1,5
307,BHANGORE - I,2,17
308,BHANGORE - II,3,17
28,RAINA - I,5,2
51,PURBASTHALI - II,32,2
355,BARDWAN - II,18,2
283,AMDANGA,1,16
116,GOGHAT - II,14,6
35,GALSI - I,12,2
238,RANINAGAR - II,22,13
168,JHARGRAM,5,11
106,PANDUA,4,6
146,MATHABANGA - II,11,9
358,DASPUR - I,28,11
123,JALPAIGURI SADAR,2,7
101,SHYAMPUR - II,14,5
182,GARBETA  - I,19,11
177,DATAN - II,14,11
130,MADARIHAT,9,8
169,JAMBANI,6,11
231,LALGOLA,15,13
233,NABAGRAM,17,13
333,FALTA,28,17
42,SALANPUR,20,2
108,SINGUR,6,6
48,KALNA - I,29,2
119,KHANAKUL - II,17,6
350,HEMTABAD,7,19
32,AUSHGRAM - I,9,2
327,MOGRAHAT - II,22,17
9,TALDANGRA,9,1
85,RANGLIRANGLIOT,11,4
11,KHATRA,11,1
95,BAGNAN - I,8,5
36,KANKSA,13,2
212,EGRA - I,27,12
348,KARANDIGHI,5,19
224,BURWAN,8,13
194,TAMLUK - I,9,12
257,RANAGHAT - II,14,14
349,RAIGUNJ,6,19
3,CHATNA,3,1
171,BINPUR - II,8,11
252,KRISHNANAGAR - I,9,14
229,KANDI SADAR,13,13
277,RAGUNATHPUR - II,16,15
312,BUDGE BUDGE - II,7,17
39,RANIGUNJ,16,2
5,MAJHIA,5,1
331,KAKDWIP,26,17
72,SURI - II,18,3
71,SURI - I,17,3
