id,crop_id,crop_type,crop_name,created_at,updated_at,crop_type_bn,crop_name_bn
60,1,KharifCrop,Paddy,2016-03-08 12:00:31.000000,2016-03-08 12:00:31.000000,খরিফ,ধান 
114,1,RabiCrop,Paddy,2016-03-11 05:11:09.000000,2016-03-11 05:11:09.000000,রবি,ধান 
61,2,KharifCrop,Jute,2016-03-10 13:23:49.000000,2016-03-10 13:23:49.000000,খরিফ,পাট 
62,3,KharifCrop,Maize ,2016-03-10 13:23:55.000000,2016-03-10 13:23:55.000000,খরিফ,ভুট্টা 
63,4,KharifCrop,Sesamum,2016-03-10 13:24:01.000000,2016-03-10 13:24:01.000000,খরিফ,তিল 
64,5,KharifCrop,Black Gram,2016-03-10 13:24:06.000000,2016-03-10 13:24:06.000000,খরিফ,কলাই 
65,6,KharifCrop,Arhar ,2016-03-10 13:24:13.000000,2016-03-10 13:24:13.000000,খরিফ,অড়হর
66,7,KharifCrop,Cucumber,2016-03-10 13:24:19.000000,2016-03-10 13:24:19.000000,খরিফ,শসা 
67,8,KharifCrop,Ridge Gourd,2016-03-10 13:24:25.000000,2016-03-10 13:24:25.000000,খরিফ,ঝিঙ্গা
68,9,KharifCrop,Pointed Gourd,2016-03-10 13:24:32.000000,2016-03-10 13:24:32.000000,খরিফ,পটল
208,43,RabiCrop,Pointed Gourd,2016-03-16 10:09:58.000000,2016-03-16 10:09:58.000000,রবি,পটল
86,27,KharifCrop,Ginger,2016-03-10 13:27:15.000000,2016-03-10 13:27:15.000000,খরিফ,আদা 
69,10,KharifCrop,Brinjal,2016-03-10 13:24:39.000000,2016-03-10 13:24:39.000000,খরিফ,বেগুন 
70,11,KharifCrop,Areca Nut,2016-03-10 13:24:46.000000,2016-03-10 13:24:46.000000,খরিফ,সুপারী
71,12,KharifCrop,Banana,2016-03-10 13:24:54.000000,2016-03-10 13:24:54.000000,খরিফ,কলা 
72,13,KharifCrop,Betel ,2016-03-10 13:25:01.000000,2016-03-10 13:25:01.000000,খরিফ,পান
73,14,KharifCrop,Bitter Gourd,2016-03-10 13:25:08.000000,2016-03-10 13:25:08.000000,খরিফ,উচ্ছে 
74,15,KharifCrop,Cabbage,2016-03-10 13:25:16.000000,2016-03-10 13:25:16.000000,খরিফ,বাঁধাকপি
75,16,KharifCrop,Capsicum,2016-03-10 13:25:24.000000,2016-03-10 13:25:24.000000,খরিফ,ক্যাপসিকাম
76,17,KharifCrop,Carrot,2016-03-10 13:25:32.000000,2016-03-10 13:25:32.000000,খরিফ,গাজর
77,18,KharifCrop,Cauliflower,2016-03-10 13:25:47.000000,2016-03-10 13:25:47.000000,খরিফ,ফুলকপি 
78,19,KharifCrop,Chilli,2016-03-10 13:25:55.000000,2016-03-10 13:25:55.000000,খরিফ,লঙ্কা 
79,20,KharifCrop,Citrus,2016-03-10 13:26:02.000000,2016-03-10 13:26:02.000000,খরিফ,লেবু 
80,21,KharifCrop,Coconut,2016-03-10 13:26:11.000000,2016-03-10 13:26:11.000000,খরিফ,নারকেল 
81,22,KharifCrop,Coriender,2016-03-10 13:26:23.000000,2016-03-10 13:26:23.000000,খরিফ,ধনে 
82,23,KharifCrop,Cotton,2016-03-10 13:26:31.000000,2016-03-10 13:26:31.000000,খরিফ,তুলো
83,24,KharifCrop,Cow Pea,2016-03-10 13:26:40.000000,2016-03-10 13:26:40.000000,খরিফ,বরবটি 
84,25,KharifCrop,Garber,2016-03-10 13:27:01.000000,2016-03-10 13:27:01.000000,খরিফ,জারবেরা 
85,26,KharifCrop,Garlic,2016-03-10 13:27:09.000000,2016-03-10 13:27:09.000000,খরিফ,রসুন 
87,28,KharifCrop,Gladiolus,2016-03-10 13:27:42.000000,2016-03-10 13:27:42.000000,খরিফ,গ্ল্যাডিওলাস
88,29,KharifCrop,Gram ,2016-03-10 13:27:51.000000,2016-03-10 13:27:51.000000,খরিফ,ছোলা 
89,30,KharifCrop,Green Gram,2016-03-10 13:27:56.000000,2016-03-10 13:27:56.000000,খরিফ,মুগ 
90,31,KharifCrop,Groundnut,2016-03-10 13:28:01.000000,2016-03-10 13:28:01.000000,খরিফ,চীনাবাদাম
91,32,KharifCrop,Guava ,2016-03-10 13:28:06.000000,2016-03-10 13:28:06.000000,খরিফ,পেয়ারা 
92,33,KharifCrop,Ladyfinger,2016-03-10 13:28:12.000000,2016-03-10 13:28:12.000000,খরিফ,ভেন্ডি 
93,34,KharifCrop,Lentil,2016-03-10 13:28:16.000000,2016-03-10 13:28:16.000000,খরিফ,মুসুর 
94,35,KharifCrop,Linseed,2016-03-10 13:28:22.000000,2016-03-10 13:28:22.000000,খরিফ,তিসি 
95,36,KharifCrop,Mango ,2016-03-10 13:28:28.000000,2016-03-10 13:28:28.000000,খরিফ,আম
96,37,KharifCrop,Marigold,2016-03-10 13:29:20.000000,2016-03-10 13:29:20.000000,খরিফ,গাঁদা
97,38,KharifCrop,Mustard,2016-03-10 13:29:25.000000,2016-03-10 13:29:25.000000,খরিফ,সরষে 
98,39,KharifCrop,Onion ,2016-03-10 13:29:30.000000,2016-03-10 13:29:30.000000,খরিফ,পেঁয়াজ
99,40,KharifCrop,Palak ,2016-03-10 13:29:35.000000,2016-03-10 13:29:35.000000,খরিফ,পালং 
100,41,KharifCrop,Papaya,2016-03-10 13:29:41.000000,2016-03-10 13:29:41.000000,খরিফ,পেঁপে 
101,42,KharifCrop,Pea ,2016-03-10 13:29:46.000000,2016-03-10 13:29:46.000000,খরিফ,মটর
102,43,KharifCrop,Potato,2016-03-10 13:29:51.000000,2016-03-10 13:29:51.000000,খরিফ,আলু 
