id,name,created_at,updated_at
1,Paddy,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
2,Jute,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
3,Groundnut,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
4,Sesamum,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
5,Maize ,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
7,Brinjal,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
9,Pumpkin,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
10,Cucumber,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
11,Areca Nut,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
12,Arhar ,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
13,Banana,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
15,Bitter Gourd,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
16,Black Gram,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
17,Cabbage,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
18,Capsicum,2015-11-04 18:41:47.000000,2015-11-04 18:41:47.000000
19,Carrot,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
20,Cauliflower,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
21,Chilli,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
22,Citrus,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
23,Coconut,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
25,Cotton,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
26,Cow Pea,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
28,Garlic,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
29,Ginger,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
30,Gladiolus,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
31,Gram ,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
32,Green Gram,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
33,Guava ,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
34,Lentil,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
35,Linseed,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
36,Mango ,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
37,Marigold,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
38,Mustard,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
39,Onion ,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
40,Palak ,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
41,Papaya,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
42,Pea ,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
43,Pointed Gourd,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
44,Potato,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
45,Rapeseed,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
46,Ridge Gourd,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
47,Snake Gourd,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
48,Soybean,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
49,Sunflower,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
50,Tomato,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
51,Tuberose,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
53,Wheat ,2015-11-04 18:41:48.000000,2015-11-04 18:41:48.000000
55,Jute (Olitorius),2016-04-06 05:04:07.632176,2016-04-06 05:04:07.632176
14,Betel Vine,2015-11-04 18:41:47.000000,2016-05-05 10:22:15.230479
24,Coriander,2015-11-04 18:41:48.000000,2016-05-05 10:22:55.047339
8,Lady’s Finger,2015-11-04 18:41:47.000000,2016-05-05 10:23:14.729278
52,Turmeric,2015-11-04 18:41:48.000000,2016-05-05 10:23:41.712431
27,Gerbera,2015-11-04 18:41:48.000000,2016-05-05 10:26:48.878347
6,Sugarcane,2015-11-04 18:41:47.000000,2016-06-08 06:45:55.950048
