id,name,block_code,district_id,created_at,updated_at,soil_samples_count,tests_count,results_count,soil_health_cards_count
132,ALIPURDUAR - I,011,8,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,7781,7775,7536,22905
131,KALCHINI,010,8,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,1319,1312,1311,6924
14,RAIPUR - I,014,1,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,445,438,438,770
199,SUTAHATA - II,014,12,2015-11-04 18:28:12.000000,2015-11-04 18:28:12.000000,1415,1203,877,4452
255,NAKASHIPARA,012,14,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,9311,8975,6499,20764
96,BAGNAN - II,009,5,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,1538,1538,1348,4817
220,BHAGABANGOLA - I,004,13,2015-11-04 18:28:12.000000,2015-11-04 18:28:12.000000,4341,4205,4054,14527
143,HALDIBARI,008,9,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,5844,5841,5840,8812
140,DINHATA - I,005,9,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,4710,4658,4603,18655
258,SANTIPUR,015,14,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,5826,5028,4805,14702
292,BADURIA,010,16,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,4524,4525,4184,16262
68,DUBRAJPUR,014,3,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,3882,3863,3213,15490
222,BARATPUR - I,006,13,2015-11-04 18:28:12.000000,2015-11-04 18:28:12.000000,4379,4379,3618,17163
139,TUFANGANJ - II,004,9,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,3574,3572,3462,4008
248,KALIGUNJ,005,14,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,7556,7398,7356,25309
56,NALHATI - II,002,3,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,3579,2207,944,5133
82,KURSEONG,008,4,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,707,705,20,20
134,KUMARGRAM,013,8,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,3114,3099,3042,5111
236,RAGHUNATHGANJ - II,020,13,2015-11-04 18:28:12.000000,2017-03-22 07:12:33.432890,2004,1620,1538,4461
69,ELAMBAZAR,015,3,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,4212,4107,3772,16306
164,NAYAGRAM,001,11,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,3537,3058,3059,5535
122,RAJGANJ,001,7,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,1843,1792,1449,4179
8,ONDA,008,1,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,3388,3155,3151,14197
256,RANAGHAT - I,013,14,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,4892,4701,4620,10858
109,HARIPAL,007,6,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,4960,4960,4563,13153
247,HARINGHATA,004,14,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,5484,5152,4961,23761
357,CHANDRAKONA - II,025,11,2016-08-09 09:13:05.393562,2016-08-09 09:13:05.393562,3062,3061,2744,13643
86,SUKHIAPOKHRI,012,4,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,712,712,0,0
351,KALIAGUNJ,008,19,2015-11-04 18:28:14.000000,2015-11-04 18:28:14.000000,5227,5083,4979,28056
318,KULTALI,013,17,2015-11-04 18:28:14.000000,2015-11-04 18:28:14.000000,2872,1287,993,4213
125,DHUPGURI,004,7,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,11679,9040,8655,32802
359,DASPUR - II,029,11,2016-08-09 09:13:24.209858,2016-08-09 09:13:24.209858,3307,3311,2952,11196
115,GOGHAT - I,013,6,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,4677,4677,4490,14873
174,KESIARI,011,11,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,6095,4980,3613,10082
310,BISHNUPUR - II,005,17,2015-11-04 18:28:14.000000,2015-11-04 18:28:14.000000,1158,1147,1065,4085
6,GANGAJALGHATI,006,1,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,1733,1733,1606,8925
27,JAMALPUR,004,2,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,6645,5906,5801,55725
58,MURARI - II,004,3,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,3959,2870,1617,6098
161,KALIACHAK - II,014,10,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,3145,3145,2861,3069
205,KHEJURI - I,020,12,2015-11-04 18:28:12.000000,2015-11-04 18:28:12.000000,2691,1882,1658,13258
40,JAMURIA,017,2,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,1467,1410,1373,10016
37,FARIDPUR DURGAPUR,014,2,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,1286,1199,993,14418
337,KUMARGANJ,003,18,2015-11-04 18:28:14.000000,2015-11-04 18:28:14.000000,3913,3839,3281,3359
276,RAGUNATHPUR - I,015,15,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,1014,1017,996,14921
275,JHALDA - II,014,15,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,1171,1168,999,8437
317,JOYNAGAR -II,012,17,2015-11-04 18:28:14.000000,2015-11-04 18:28:14.000000,824,617,516,2041
363,KULTI,054,2,2017-03-08 19:20:00.000000,2017-03-08 19:20:00.000000,265,265,265,1041
191,PANSKURA - I,006,12,2015-11-04 18:28:12.000000,2015-11-04 18:28:12.000000,1373,1360,959,2504
362,ASANSOL,038,2,2017-03-08 19:20:00.000000,2017-03-08 19:20:00.000000,264,264,264,753
356,ANDAL,022,2,2016-08-09 09:12:58.242138,2016-08-09 09:12:58.242138,147,144,144,1566
47,MONGOLKOT,028,2,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,9644,9530,9079,61879
354,Kaliachak - I,016,10,2016-03-31 10:16:19.708446,2016-03-31 10:16:19.708446,3142,3142,2529,5605
13,INDPUR,013,1,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,1453,1285,1232,4554
126,MALBAZAR,005,7,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,2955,2443,1625,3682
167,SANKHRAIL,004,11,2015-11-04 18:28:11.000000,2015-11-04 18:28:11.000000,3443,3400,3181,4359
306,BARUIPUR,001,17,2015-11-04 18:28:14.000000,2015-11-04 18:28:14.000000,2195,2118,1958,2359
340,BANSHIHARI,006,18,2015-11-04 18:28:14.000000,2015-11-04 18:28:14.000000,6989,6834,6443,6464
16,RANIBANDH,016,1,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,843,843,819,2447
364,HIRAPUR,037,2,2017-03-09 09:42:51.957638,2017-03-09 12:10:21.525877,248,248,248,1638
262,PURULIA - I,001,15,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,1248,1243,1140,11015
279,KASHIPUR,018,15,2015-11-04 18:28:13.000000,2015-11-04 18:28:13.000000,1758,1727,1690,9507
25,MEMARI - I,002,2,2015-11-04 18:28:09.000000,2015-11-04 18:28:09.000000,5371,4958,4640,23001
55,NALHATI - I,001,3,2015-11-04 18:28:10.000000,2015-11-04 18:28:10.000000,5833,4939,2035,7884
